MAIN_ID,RA,DEC,RA_PREC,DEC_PREC,COO_ERR_MAJA,COO_ERR_MINA,COO_ERR_ANGLE,COO_QUAL,COO_WAVELENGTH,COO_BIBCODE,PLX_VALUE,PMRA,PMDEC,PM_ERR_MAJA,PM_ERR_MINA,PM_ERR_ANGLE,SP_TYPE,FLUX_V,SCRIPT_NUMBER_ID
TOI-3819b,08 07 27.1889,+29 23 19.472,14,14,0.013,0.011,90,A,O,2020yCat.1350....0G,1.805,-6.144,-22.673,0.015,0.012,90,,,0
Kepler-306d,19 14 09.2870,+40 36 58.113,14,14,0.020,0.024,90,A,O,2020yCat.1350....0G,1.272,3.261,-20.458,0.026,0.031,90,,,0
NAME EWS 2012-BLG-406b,17 53 18.1720,-30 28 16.194,14,14,0.173,0.146,90,A,O,2020yCat.1350....0G,,-3.282,-0.059,0.213,0.157,90,,,0
Kepler-28c,19 28 32.8904,+42 25 45.959,14,14,0.016,0.018,90,A,O,2020yCat.1350....0G,2.254,-0.463,11.691,0.021,0.021,90,,,0
NAME V672 Lyr b,19 04 09.8515,+36 37 57.446,14,14,0.009,0.010,90,A,O,2020yCat.1350....0G,6.265,-32.168,-20.463,0.012,0.013,90,,,0
Kepler-1165c,19 07 53.0985,+44 42 29.795,14,14,0.012,0.014,90,A,O,2020yCat.1350....0G,0.630,-2.594,-2.196,0.016,0.018,90,,,0
Kepler-436c,20 06 52.9789,+44 24 43.483,14,14,0.026,0.026,90,A,O,2020yCat.1350....0G,1.711,5.300,1.575,0.035,0.035,90,,,0
BD+47  1863b,11 22 05.7526,+46 54 30.179,14,14,0.007,0.009,90,A,O,2020yCat.1350....0G,39.319,-197.487,-134.777,0.010,0.009,90,,,0
BD+02  2098b,08 55 07.6217,+01 32 47.415,14,14,0.014,0.008,90,A,O,2020yCat.1350....0G,48.740,44.944,-1045.876,0.020,0.013,90,,,0
Kepler-1034b,19 04 27.6908,+37 58 01.158,14,14,0.015,0.017,90,A,O,2020yCat.1350....0G,1.511,5.645,-9.774,0.020,0.021,90,,,0
HD  23127b,03 39 23.6377,-60 04 40.237,14,14,0.013,0.012,90,A,O,2020yCat.1350....0G,10.690,73.769,142.792,0.017,0.017,90,,,0
Kepler-404c,19 05 35.6671,+45 20 36.742,14,14,0.017,0.020,90,A,O,2020yCat.1350....0G,1.187,-5.462,-3.626,0.022,0.025,90,,,0
Kepler-315b,19 52 05.5414,+43 21 48.634,14,14,0.018,0.018,90,A,O,2020yCat.1350....0G,0.874,1.238,-7.776,0.023,0.023,90,,,0
Kepler-1871b,19 29 42.6026,+38 28 22.469,14,14,0.013,0.015,90,A,O,2020yCat.1350....0G,1.212,-1.216,-5.962,0.018,0.019,90,,,0
HD 114613b,13 12 03.1842,-37 48 10.879,14,14,0.090,0.076,90,A,O,2020yCat.1350....0G,48.869,-382.409,46.147,0.106,0.093,90,,,0
Kepler-548b,19 59 37.4206,+45 26 22.831,14,14,0.016,0.018,90,A,O,2020yCat.1350....0G,1.300,-0.441,-15.121,0.021,0.021,90,,,0
Kepler-219d,19 14 57.3495,+46 45 45.290,14,14,0.011,0.011,90,A,O,2020yCat.1350....0G,1.258,-1.307,2.816,0.015,0.016,90,,,0
Kepler-1876b,19 56 38.5144,+41 08 37.428,14,14,0.008,0.010,90,A,O,2020yCat.1350....0G,3.853,1.581,15.362,0.010,0.013,90,,,0
HD 149782b,16 39 12.4661,-47 18 36.757,14,14,0.015,0.010,90,A,O,2020yCat.1350....0G,14.160,15.039,-119.648,0.020,0.014,90,,,0
HD  96167b,11 05 15.0688,-10 17 28.699,14,14,0.025,0.019,90,A,O,2020yCat.1350....0G,11.728,-50.532,-9.197,0.031,0.022,90,,,0
K2-263b,08 38 43.7696,+15 40 50.247,14,14,0.017,0.013,90,A,O,2020yCat.1350....0G,6.133,-55.459,-4.698,0.020,0.016,90,,,0
TOI-2669b,08 58 53.4148,-13 18 45.114,14,14,0.012,0.010,90,A,O,2020yCat.1350....0G,2.520,18.720,-11.021,0.013,0.012,90,,,0
Kepler-1894c,19 42 20.7547,+49 40 00.608,14,14,0.020,0.023,90,A,O,2020yCat.1350....0G,1.080,-2.635,3.888,0.028,0.034,90,,,0
Kepler-261b,19 25 27.5414,+37 36 33.031,14,14,0.009,0.011,90,A,O,2020yCat.1350....0G,3.146,-4.176,14.765,0.012,0.013,90,,,0
HD 220842b,23 26 36.9885,+56 53 11.491,14,14,0.014,0.014,90,A,O,2020yCat.1350....0G,15.399,-89.182,143.073,0.017,0.017,90,,,0
K2-219d,00 51 22.8636,+08 52 03.502,14,14,0.015,0.010,90,A,O,2020yCat.1350....0G,3.054,7.132,-21.445,0.023,0.015,90,,,0
Kepler-755b,19 47 26.6455,+41 05 50.633,14,14,0.010,0.012,90,A,O,2020yCat.1350....0G,2.466,-15.449,-18.684,0.014,0.016,90,,,0
Kepler-321b,19 37 48.8858,+44 08 44.796,14,14,0.008,0.010,90,A,O,2020yCat.1350....0G,2.557,1.364,-3.296,0.011,0.014,90,,,0
HD  38529b,05 46 34.9131,+01 10 05.502,14,14,0.034,0.034,90,A,O,2020yCat.1350....0G,23.571,-77.806,-141.363,0.041,0.038,90,,,0
