source_id,ra,dec,parallax,pmra,pmdec
5937081662906248192,251.57899731478417,-51.591670481144185,0.2496470467628572,-0.003726839331828824,-4.738156562403839
5937081662906250752,251.5716678975658,-51.59360559659634,,,
5937081662906250880,251.571755514143,-51.59424369844673,0.5930135962571719,-1.8320914528929597,-2.1411754542372132
5937081662906252672,251.5791469521107,-51.590349279473244,0.28231741201641614,-3.788626177970068,-3.9747025111047902
5937081662906257792,251.5799617447314,-51.58884466243821,0.47778015067715734,-1.8826823347312662,-0.20980386688877112
5937081662906258432,251.5759498959032,-51.5906029775451,0.4011747673033022,-3.41302354759722,-6.715250254434858
5937081662906263552,251.5665095856084,-51.59448288604544,0.0658921627492772,-5.9549237694357915,-8.530879047084566
5937081662906266368,251.57284503678977,-51.59117554333993,,,
5937081662906268672,251.5738408754752,-51.58950671032018,0.17601080365202249,-3.9186750226124665,-4.776693597626375
5937081662906269440,251.5704312090403,-51.59111126789914,2.7250189241867937,-4.327916166181368,-6.460840471564306
5937201440984997888,250.5698804394255,-51.26968983206294,0.25044722224936805,-2.322708298442103,-3.716544959173083
5937201440985005056,250.56712871684744,-51.26936821668954,0.33354557789494493,-5.254651230463615,-3.9036397483019663
5937201440985005184,250.55714247833265,-51.27101205977943,-0.029782367900996864,-4.5962821141909584,-4.702958160702461
5937201440985005696,250.57009343418946,-51.26875530093988,2.606815807604484,-3.933105876162828,-4.478662179463372
5937201440985006464,250.57587285540114,-51.26788374063774,0.4333771694601678,1.3476554614747502,-2.2249437194463524
5937201440985009024,250.57129302756778,-51.26837341228936,,,
5937201440985015296,250.55462617162738,-51.27005077789446,0.9921886251307227,-1.9318443247812203,-2.830689491919249
5937201440985015424,250.55500083631668,-51.27027977757309,,,
5937201440985019520,250.5729457680169,-51.26693142349257,0.4922969852023991,1.8836564207056932,-3.9331541453134697
5937201440985024384,250.56924936964094,-51.26709676349236,0.3798812365283452,-3.3642010377437983,-2.524714164565918
5937201440985027072,250.56089973075996,-51.26821628078467,0.3402534001420199,-2.69356476342641,-3.9394107141060104
5937201440985031808,250.56978463032684,-51.26620983191098,,,
5937201440985034496,250.5635140622427,-51.2670762957024,,,
5937201440985034624,250.55461414880403,-51.26852126303843,0.6149877673326334,-0.3726289357273468,3.14680195633255
5937201440985039872,250.55805182281603,-51.26707349185887,,,
5937201440985040000,250.55812933202094,-51.26730708957454,,,
5937201440985041280,250.55579640396917,-51.26768762175533,,,
5937144575624012160,251.51587487689486,-50.74684389927932,,,
5937144575624012288,251.51505588054187,-50.747100395793176,,,
5937144575624012928,251.50346447726747,-50.750743405658426,0.003031714219647527,2.8849267785813044,-2.1355331228888224
5937144575624014080,251.5098437270122,-50.74980965327942,,,
5937144575624015232,251.50414497121318,-50.752134836469835,-0.14142508888290392,-4.681181183793765,-5.466577231361009
5937144575624016000,251.51313796781392,-50.75005279193426,,,
5937144575624019840,251.5107366517581,-50.752956058672076,,,
5937144575624250496,251.50713453406092,-50.74100026409105,2.149838210260068,-5.117182358778404,-0.9196472974992079
5937144575624251136,251.50639283653857,-50.742257431258054,,,
5937144575624252288,251.5102879008946,-50.74457833541295,-0.07727142143843956,-1.092366416414788,-0.24894258455884133
5937144575624253440,251.50702840185514,-50.74787507541441,,,
5937144575624254464,251.51434817060306,-50.75020496046796,4.082514448758976,-0.006897023989879569,0.7418060760760152
5937144575624611456,251.4977999604344,-50.742347009293866,,,
5937144575624613504,251.49823766186748,-50.74342769746487,,,
5937144575624620288,251.50763768104395,-50.74606075123712,,,
5937144575624629760,251.51007947548712,-50.752197654360245,,,
5937144575624630912,251.50605819754915,-50.75389210282538,,,
5937144575625016448,251.51008522207735,-50.7492026681046,,,
5937144575625215616,251.5081220336262,-50.7450721531147,,,
5937112483684402688,251.15501993838157,-51.10369662495527,0.8534535257324954,-3.606959822217399,-6.408015138456645
5937112483684402816,251.1584818672233,-51.10185369284944,-0.0017685521903395957,-2.6023342200906594,-3.1984273557824237
5937112483684406912,251.163747794609,-51.09681548651574,0.11631023603283533,-2.4687857149506547,-2.715459913369603
5937112483684412032,251.15453476918145,-51.097929922121885,0.4449101636138576,2.193159328961881,-0.40022380975710403
5937112483684414848,251.1492904485282,-51.09879961162084,0.5428877608968753,-3.5819448222926824,-3.291922140768939
5937112483684415232,251.15457055361074,-51.095961098712856,,,
5937112483684418432,251.15457240024807,-51.094590598060556,0.46128553058671623,-0.8297617891921888,-2.3616851286043006
5937112483684421248,251.1512642923614,-51.09440758850001,,,
5937112483684421376,251.14823849188613,-51.0959434300162,0.3734148877381869,-1.1584290703877917,-3.073330112072056
5937112483684421504,251.14899403212854,-51.095306020328024,0.2003528095834966,-2.1636775481539274,-5.214862884974398
5937112483684432000,251.14767853628481,-51.08941961418149,0.21162097214202594,-3.321321438262835,-4.349814693864452
5937112483684683904,251.1620676203622,-51.10322058370827,-0.8067228666527109,-4.38480836357658,-5.107812034203611
5937112483684710016,251.16955706615965,-51.0990204203987,,,
5937112483684746624,251.15331109306555,-51.10070350936999,,,
5937112483691104256,251.15845983804792,-51.10549947028133,0.207717940706824,-2.6686628382565907,-5.461344802825195
5937173712661028992,250.0720735938246,-51.72371946475415,,,
5937173605294777472,250.1743780779952,-51.57864061108477,0.35881725229325845,-3.1659141793110814,-7.372918922274499
5937173605294777728,250.1742259103849,-51.579922116532806,0.049235000066071226,-3.129596290573023,-4.7586010575002735
5937173609578823296,250.17783446363862,-51.57787240455413,0.7271251273901199,0.1041876548189079,-2.353620913124478
5937173609578833408,250.18194488532356,-51.57471780812208,-0.21605641136892006,-2.615879881493873,-3.884032997802974
5937173609578835968,250.17854603769746,-51.57601726467196,0.23959363123209426,-3.3009937097593847,-6.251740739984717
5937173609578842624,250.17743983287014,-51.57591074505097,-3.068399872192066,-1.182913115248327,-3.7005923231121938
